"","600639.SS.Open","600639.SS.High","600639.SS.Low","600639.SS.Close","600639.SS.Volume","600639.SS.Adjusted"
"2008-06-03",11.7182,11.8,10.9091,11.2455,3244977,9.733277
"2008-06-04",11.6364,12.3727,11.5909,11.9,6478085,10.299765
"2008-06-05",11.8091,11.9545,11.2091,11.7273,3544693,10.150286
"2008-06-06",11.7364,11.8818,11.3364,11.4818,1722739,9.937802
"2008-06-10",10.8182,10.9,10.3364,10.3546,3823521,8.962179
"2008-06-11",10,10.4091,9.81818,10.0909,2006006,8.733942
"2008-06-12",10.2273,10.2273,9.68182,10,1711877,8.655265
"2008-06-13",10.0273,10.0909,9.18182,9.21818,1006680,7.978577
"2008-06-16",9.21818,9.54545,8.92727,9.18182,1355014,7.947107
"2008-06-17",9.18182,9.54545,8.78182,8.85455,2685373,7.663848
"2008-06-18",8.66364,9.28182,8.23636,9.20909,2830778,7.97071
"2008-06-19",9.09091,9.09091,8.29091,8.29091,1455846,7.176002
"2008-06-20",8.36364,8.97273,7.56364,8.28182,2019602,7.168135
"2008-06-23",8.17273,8.28182,7.74545,7.96364,957359,6.892741
"2008-06-24",7.98182,8.3,7.95455,8.22727,922646,7.12092
"2008-06-25",8.22727,8.22727,8.22727,8.22727,0,7.12092
"2008-06-26",8.70909,9.05455,8.63636,9.05455,2263692,7.836952
"2008-06-27",9.05455,9.83636,8.82727,9.09091,7789086,7.868423
"2008-06-30",9.63636,9.89091,9.23636,9.37273,5393777,8.112345
"2008-07-01",9.27273,9.27273,8.43636,8.63636,4624494,7.474997
"2008-07-02",8.53636,9.10909,8.23636,8.74545,3547200,7.569419
"2008-07-03",8.51818,9.13636,8.25455,8.88182,3039304,7.687449
"2008-07-04",8.88182,9.77273,8.72727,9.53636,8273837,8.253971
"2008-07-07",9.54545,10.1818,9.35455,9.94545,6923170,8.608052
"2008-07-08",9.81818,10.1454,9.57273,10.1182,4386818,8.757569
"2008-07-09",10.0091,10.7091,10.0091,10.3636,6153923,8.96997
"2008-07-10",10.3091,10.5727,10.1,10.1182,4949861,8.757569
"2008-07-11",10.0818,10.6273,9.70909,10.3818,5138540,8.985723
"2008-07-14",10.3455,10.5455,10.1818,10.4545,2783077,9.048646
"2008-07-15",10.4545,10.6545,9.40909,9.57273,7118964,8.285452
"2008-07-16",9.45455,9.45455,8.87273,9.09091,2507161,7.868423
"2008-07-17",9.33636,9.38182,8.86364,8.87273,1337369,7.679583
"2008-07-18",9.07273,9.35455,8.90909,9.26364,1500996,8.017927
"2008-07-21",9.25455,10.1909,9.09091,10.1909,6346515,8.820494
"2008-07-22",10,10.7182,9.98182,10.2,8659676,8.828368
"2008-07-23",10.1818,11.1818,10.0909,10.7727,8526070,9.324057
"2008-07-24",10.7818,11.7273,10.6364,11.3182,10809542,9.796202
"2008-07-25",11.1364,11.5909,10.9,10.9727,5721761,9.497162
"2008-07-28",11.0546,11.5,10.9909,11.1636,4476912,9.662391
"2008-07-29",10.9364,11.1545,10.5091,10.6818,3379804,9.245379
"2008-07-30",10.9091,10.9636,10.4091,10.5,2482407,9.088028
"2008-07-31",10.6364,11.5546,10.2909,11.5546,11231155,10.000812
"2008-08-01",11.4,12.4454,11.2909,11.9909,20752399,10.37844
"2008-08-04",11.7182,12.1727,11.3364,11.3546,9764927,9.827705
"2008-08-05",11.4545,11.6636,10.8546,10.9273,7480744,9.457868
"2008-08-06",11.2182,11.7091,10.7455,11.5455,8896472,9.992934
"2008-08-07",11.4364,12.3636,11.4364,11.9909,11790099,10.37844
"2008-08-08",12,12.0455,10.7909,10.7909,7917138,9.339809
"2008-08-11",10.6909,10.6909,9.61818,9.61818,6006133,8.410523
"2008-08-12",9.18182,9.45455,8.71818,8.9,6579335,7.782519
"2008-08-13",8.63636,9.44545,8.27273,9.27273,8370899,8.108448
"2008-08-14",9.1,9.72727,8.89091,9.58182,6575532,8.378728
"2008-08-15",9.31818,9.67273,9.19091,9.26364,5468145,8.100501
"2008-08-18",9.35455,9.50909,8.59091,8.65455,5911698,7.567887
"2008-08-19",8.42727,9.09091,8.40909,8.94545,3514268,7.822262
"2008-08-20",8.89091,9.83636,8.72727,9.83636,7496394,8.601309
"2008-08-21",9.63636,10.6545,9.54545,10.1364,9007294,8.863678
"2008-08-22",9.92727,10.6091,9.92727,10.1636,7882812,8.887463
"2008-08-25",10.1273,10.3636,9.81818,9.95455,5073201,8.704659
"2008-08-26",9.63636,9.91818,8.96364,9.25455,6849270,8.092551
"2008-08-27",9.12727,9.54545,9,9.30909,4715157,8.140241
"2008-08-28",9.32727,9.5,9.11818,9.14545,2141755,7.99715
"2008-08-29",9.32727,9.64545,9.20909,9.43636,4490377,8.251533
"2008-09-01",9.45455,9.45455,8.95455,8.98182,3431596,7.854064
